property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,vatika the seven lamps,sector 82,0.85,5977.5,1422.0,Super Built up area 1430(132.85 sq.m.),2,2,2,9.0,North-East,Relatively New,1430.0,,,1,0,0,0,0,0,117,711.0
house,prem kunj,sohna road road,0.5,7407.41,675.0,Plot area 675(62.71 sq.m.)Built Up area: 725 sq.ft. (67.35 sq.m.)Carpet area: 675 sq.ft. (62.71 sq.m.),2,4,3,3.0,South-West,Relatively New,,725.0,675.0,0,0,0,1,0,0,22,337.5
flat,vatika gurgaon,sector 83,0.75,6024.1,1245.0,Super Built up area 1245(115.66 sq.m.)Built Up area: 1150 sq.ft. (106.84 sq.m.)Carpet area: 1020 sq.ft. (94.76 sq.m.),2,2,2,19.0,East,Relatively New,1245.0,1150.0,1020.0,0,0,0,0,1,1,105,622.5
house,independent,sector 23,5.0,16244.31,3078.0,Plot area 342(285.96 sq.m.),4,4,2,2.0,East,Old Property,,342.0,,0,0,0,0,0,0,7,769.5
flat,sare green parc,sector 92,0.75,4820.05,1556.0,Built Up area: 1556 (144.56 sq.m.)Carpet area: 1261 sq.ft. (117.15 sq.m.),3,2,2,16.0,,Undefined,,1556.0,1261.0,0,0,0,0,0,0,0,518.6666666666666
flat,dlf regal gardens,sector 90,1.26,7403.06,1702.0,Super Built up area 1702(158.12 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,3,6.0,North-East,Relatively New,1702.0,,1500.0,0,0,0,0,1,1,28,567.3333333333334
flat,ireo victory valley,sector 67,4.55,14536.74,3130.0,Super Built up area 3130(290.79 sq.m.),4,4,3+,19.0,South,Relatively New,3130.0,,,0,1,0,0,0,1,156,782.5
flat,ats tourmaline,sector 109,2.3,8897.49,2585.0,Super Built up area 2585(240.15 sq.m.),3,4,3+,10.0,East,New Property,2585.0,,,0,1,0,0,1,0,74,861.6666666666666
flat,emaar palm gardens,sector 83,1.72,9052.63,1900.0,Super Built up area 1900(176.52 sq.m.)Built Up area: 1600 sq.ft. (148.64 sq.m.)Carpet area: 1240.04 sq.ft. (115.2 sq.m.),3,3,3,4.0,South,Relatively New,1900.0,1600.0,1240.04,0,1,0,0,0,1,165,633.3333333333334
flat,tata primanti,sector 72,3.9,13425.13,2905.0,Super Built up area 2905(269.88 sq.m.)Carpet area: 2150 sq.ft. (199.74 sq.m.),4,4,3+,39.0,East,Relatively New,2905.0,,2150.0,0,1,0,0,1,0,49,726.25
house,independent,sector 6,0.66,10784.31,612.0,Plot area 612(56.86 sq.m.),3,2,1,2.0,,Old Property,,612.0,,0,0,0,0,0,0,36,204.0
flat,ansal api celebrity suites,sector 2,0.6,8163.27,735.0,Super Built up area 735(68.28 sq.m.),1,1,1,5.0,North-East,Moderately Old,735.0,,,0,0,0,0,0,1,67,735.0
flat,corona gracieux,sector 76,1.46,5499.06,2655.0,Super Built up area 2650(246.19 sq.m.),4,6,3+,8.0,,New Property,2650.0,,,0,1,0,0,0,0,58,663.75
flat,ats triumph,sector 104,2.0,8733.62,2290.0,Super Built up area 2290(212.75 sq.m.),3,4,3+,4.0,,Relatively New,2290.0,,,0,1,0,0,0,0,60,763.3333333333334
flat,la vida by tata housing,sector 113,1.5,11755.49,1276.0,Super Built up area 1276(118.54 sq.m.),2,2,2,13.0,,New Property,1276.0,,,0,0,0,0,0,0,60,638.0
flat,experion windchants,sector 112,3.4,12134.19,2802.0,Super Built up area 2802(260.31 sq.m.)Built Up area: 2225.56 sq.ft. (206.76 sq.m.),3,3,2,14.0,North-East,Relatively New,2802.0,2225.56,,0,0,0,0,0,1,159,934.0
flat,godrej summit premia towers,sector 104,0.9,7148.53,1259.0,Built Up area: 1259 (116.96 sq.m.),2,2,0,16.0,,Undefined,,1259.0,,0,0,0,0,0,0,0,629.5
flat,supertech araville,sector 79,1.45,7455.01,1945.0,Carpet area: 1945 (180.7 sq.m.),3,3,3,3.0,North,Relatively New,,,1945.0,0,0,0,0,0,0,0,648.3333333333334
flat,godrej nature plus,sector 33,1.67,10503.14,1590.0,Carpet area: 1671 (155.24 sq.m.),3,2,2,18.0,,Under Construction,,,1671.0,0,0,0,0,0,0,67,530.0
house,independent,sector 7,0.53,5888.89,900.0,Built Up area: 900 (83.61 sq.m.),2,2,0,1.0,,Undefined,,900.0,,0,0,0,0,0,0,0,450.0
